arm scene score coll% ego_m n
off    stationary-0103 5.00   0  32.4 6
off    frontal-0103    0.91  83  34.6 6
off    side-0103       0.64 100  19.9 6
cpa15  stationary-0103 5.00   0  32.3 6
cpa15  frontal-0103    1.41 100  25.9 6
cpa15  side-0103       5.00   0   7.1 6
cpa10  stationary-0103 0.00   0  16.8 1
cpa10  frontal-0103    0.00   0   0.0 0
cpa10  side-0103       0.00   0   0.0 0
