=== output tree (pairs x runs) ===
frontal-0103
side-0103
stationary-0103
stationary-0796
=== a frontal/0103 COLLISION run: metrics any_collide ===
{
"any_collide@0.0s": true,
"avg_collide@0.0s": 0.1,
"recall@0-5m": null,
"recall@5-15m": 0.0,
"recall@15-25m": 1.0,
"recall@25-35m": 1.0,
"recall@5-35m": 0.75,
=== per-pair raw score+impact (for proof file) ===
# frontal/0103
0.4092603676238151 11.920553616653198
5.0 0.0
0.0 15.333774350817064
0.0 14.970613950629055
0.05013200423125452 13.1127895761981
0.0 14.717024340442721
0.0 13.557260145119367
5.0 0.0
0.0 14.452789655240245
0.0 13.575810883922797
0.0 15.045749465856723
0.04331632489405557 13.135416299183088
0.541562246239299 11.481337243680992
5.0 0.0
0.0 13.371699949066809
# side/0103
0.8223749321813179 6.443641272456042
0.0 8.407374797268021
0.47309676405197765 7.1519133850218655
0.4155432825580947 7.2686212976335
0.9237966562557802 6.23797660364775
1.2183981103270258 5.640578846560519
0.0 8.276379478370872
1.3232004675344702 5.42805887332902
0.5819104839074094 6.931259103504869
0.18316687367490836 7.7398373168821255
0.1673456077610953 7.77192069479851
0.0 10.049123694999643
0.0 8.74177966156741
1.4964220988582686 5.076797151427258
0.0 9.574803765075272
# stationary/0103
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
0.18512532770043766 7.929581642150879
5.0 0.0
5.0 0.0
0.025582056664033903 8.261207580566406
# stationary/0796
0.0 13.665855407714846
0.0 13.61865234375
0.0 14.453590393066408
5.0 0.0
0.0 14.791049003601072
0.0 11.861738204956055
0.1891967502012304 11.294193267822266
5.0 0.0
0.29633172872811375 10.976674079895021
0.019637400853211417 11.796721458435057
5.0 0.0
0.0 14.094624519348143
0.0 14.06491279602051
0.0 12.142742156982422
0.0 14.770618438720701
